"species","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"hpylori",1.90884,860,54,1186,3563,5663,0.8170835
"hpylori",1.52117,849,47,1197,2853,4946,0.988513
"hpylori",1.52834,864,88,1071,2916,4939,1.001676
"hpylori",1.73064,840,88,1143,3313,5384,0.865371
"hpylori",1.7945,827,66,1084,3694,5671,0.816564
"hpylori",1.61492,831,49,1128,3115,5123,0.9073132
"hpylori",1.52223,872,61,1130,3015,5078,0.9562846
"hpylori",1.54366,815,85,1135,3196,5231,0.9770558
"hpylori",1.99672,841,74,1004,3859,5778,0.7665686
"hpylori",1.56693,868,47,1285,2897,5097,0.9680535
"hpylori",1.62418,869,82,1136,3036,5123,0.9430288
"hpylori",1.73626,850,51,1291,3113,5305,0.8199574
"hpylori",1.29845,932,57,1025,2734,4748,1.153045
"hpylori",1.98443,825,76,964,4250,6115,0.7622948
"hpylori",1.62905,855,60,1097,3094,5106,0.8934644
"hpylori",1.66964,855,48,1110,3074,5087,0.8464014
"hpylori",1.69073,867,82,1118,3344,5411,0.9388902
"hpylori",1.66901,867,48,1206,3090,5211,0.8903075
"hpylori",1.67104,866,69,942,3561,5438,0.8836341
"hpylori",1.86377,862,86,948,3686,5582,0.8405044
"hpylori",1.72327,842,49,1188,3199,5278,0.863096
"hpylori",1.94414,834,82,963,4085,5964,0.7899576
"hpylori",1.62851,868,55,1229,2996,5148,0.9238484
"hpylori",1.58617,899,78,899,3198,5074,0.9100873
"hpylori",1.60412,868,113,1057,3002,5040,0.9311908
"hpylori",1.71751,827,63,1309,3376,5575,0.8990445
"hpylori",1.93206,855,78,948,3912,5793,0.7854855
"hpylori",1.73057,864,99,1121,3074,5158,0.8679924
"hpylori",1.7767,860,65,1207,3221,5353,0.8250826
"hpylori",1.68561,876,88,1085,3159,5208,0.9035361
"hpylori",1.64765,855,44,968,3156,5023,0.8936969
"hpylori",1.64548,884,76,1112,3109,5181,0.8727691
"hpylori",1.78779,865,64,1016,3526,5471,0.8597241
"hpylori",1.76869,863,80,1017,3227,5187,0.8344708
"hpylori",1.7729,837,85,903,3714,5539,0.8287103
"hpylori",1.75627,831,77,971,3559,5438,0.8502695
"hpylori",1.73182,861,96,885,3467,5309,0.8544815
"hpylori",1.77737,861,82,897,3595,5435,0.881261
"hpylori",1.79904,859,84,904,3703,5550,0.8519404
"hpylori",1.59303,859,45,1052,3041,4997,0.9372228
"hpylori",1.43742,904,65,1161,2807,4937,1.039069
"hpylori",1.83035,881,76,932,3656,5545,0.8261167
"hpylori",1.78829,845,115,898,3663,5521,0.845875
"hpylori",1.56927,856,41,1024,3086,5007,0.9259619
"hpylori",1.54154,906,90,1005,3198,5199,1.00633
"hpylori",1.84747,858,55,1121,3489,5523,0.8059753
"hpylori",1.66884,902,74,1099,3047,5122,0.9449407
"hpylori",1.47425,825,54,1488,2530,4897,1.008141
"hpylori",1.66161,866,103,900,3321,5190,0.9119366
"hpylori",1.80417,837,115,896,3726,5574,0.8566741
"hpylori",1.90434,839,57,982,3822,5700,0.7819859
"hpylori",1.75796,832,113,948,3651,5544,0.8876251
"hpylori",1.53582,811,63,1341,2912,5127,0.9880278
"hpylori",1.4084,835,48,1232,2679,4794,1.031028
"hpylori",1.62087,836,90,1133,3167,5226,0.9419963
"hpylori",1.84511,837,81,1200,3374,5492,0.7803246
"hpylori",1.60889,885,63,1236,2925,5109,0.9112937
"hpylori",1.86148,867,59,1039,3659,5624,0.8031962
"hpylori",1.71626,843,48,1157,3279,5327,0.869328
"hpylori",1.87131,820,84,1145,3641,5690,0.799999
"hpylori",1.76705,871,82,991,3454,5398,0.8119237
